stack,mechanisms,nominal_eps,eff_eps,utility_mae,hr_at10,mia_auc,mia_tpr_at_1pct_fpr,attr_mae_members,leak_channel,leak_batch_recall,leak_recon_mae
dp,dp,0.75,0.75,0.9784,0.1375,0.4806,0.0,1.0207,per-client,0.025,1.7939
dp,dp,1.0,1.0,0.8057,0.1562,0.4984,0.0185,0.8979,per-client,0.025,1.7589
dp,dp,1.5,1.5,0.7423,0.125,0.4791,0.0255,0.8577,per-client,0.025,1.743
dp,dp,2.0,2.0,0.7488,0.2313,0.4696,0.0231,0.8875,per-client,0.025,1.942
dp,dp,2.5,2.5,0.748,0.1187,0.4886,0.022,0.8894,per-client,0.025,2.0562
dp,dp,3.0,3.0,0.7473,0.2125,0.4667,0.022,0.8849,per-client,0.025,2.018
dp_secagg,dp+secagg,3.0,0.75,0.7473,0.2125,0.4667,0.022,0.8849,aggregate,0.0417,2.1709
dp_secagg,dp+secagg,4.0,1.0,0.7468,0.15,0.4747,0.0208,0.8842,aggregate,0.0417,2.1552
dp_secagg,dp+secagg,6.0,1.5,0.7506,0.1938,0.482,0.0208,0.8812,aggregate,0.0417,2.0291
dp_secagg,dp+secagg,8.0,2.0,0.7505,0.1875,0.4873,0.0208,0.8816,aggregate,0.0417,2.2378
dp_secagg,dp+secagg,10.0,2.5,0.7504,0.15,0.4971,0.0208,0.8817,aggregate,0.0417,2.2342
dp_secagg,dp+secagg,12.0,3.0,0.7491,0.1875,0.4838,0.0208,0.8833,aggregate,0.0417,2.1959
dp_he,dp+he,3.0,0.75,0.7473,0.2125,0.4667,0.022,0.8849,he-aggregate,0.0417,2.1704
dp_he,dp+he,4.0,1.0,0.7468,0.15,0.4748,0.0208,0.8842,he-aggregate,0.0417,2.1586
dp_he,dp+he,6.0,1.5,0.7507,0.1938,0.4821,0.0208,0.8812,he-aggregate,0.0417,2.0318
dp_he,dp+he,8.0,2.0,0.7505,0.1875,0.4875,0.0208,0.8816,he-aggregate,0.0417,2.2778
dp_he,dp+he,10.0,2.5,0.7504,0.15,0.497,0.0208,0.8817,he-aggregate,0.0417,2.2289
dp_he,dp+he,12.0,3.0,0.7491,0.1875,0.4838,0.0208,0.8833,he-aggregate,0.0417,2.2223
dp_secagg_he,dp+secagg+he,3.0,0.75,0.7473,0.2125,0.4667,0.022,0.8849,he-aggregate,0.0417,2.1577
dp_secagg_he,dp+secagg+he,4.0,1.0,0.7468,0.15,0.4747,0.0208,0.8842,he-aggregate,0.0417,2.151
dp_secagg_he,dp+secagg+he,6.0,1.5,0.7507,0.1938,0.482,0.0208,0.8812,he-aggregate,0.0417,2.0297
dp_secagg_he,dp+secagg+he,8.0,2.0,0.7505,0.1875,0.4873,0.0208,0.8816,he-aggregate,0.0417,2.2358
dp_secagg_he,dp+secagg+he,10.0,2.5,0.7504,0.15,0.4971,0.0208,0.8817,he-aggregate,0.0417,2.2352
dp_secagg_he,dp+secagg+he,12.0,3.0,0.7491,0.1875,0.4839,0.0208,0.8833,he-aggregate,0.0417,2.1896
he,he,inf,inf,0.7499,0.1813,0.4809,0.0208,0.8831,he-aggregate,0.0417,0.6609
secagg,secagg,inf,inf,0.7499,0.1813,0.4812,0.0208,0.8831,aggregate,0.0417,0.654
secagg_he,secagg+he,inf,inf,0.7498,0.1813,0.4809,0.0208,0.8832,he-aggregate,0.0417,0.6543
ceiling,none,inf,inf,0.7499,0.1875,0.4809,0.0208,0.8831,clean,1.0,0.5755
